ja,en,cn
直方市,Nogata,直方市
北九州市,Kitakyushu,北九州市
古賀市,Koga City,古贺市
小郡,Ogori,小郡
遠賀郡,Onga-gun,远贺郡
北九州市八幡東区,Kitakyushu City Hachiman East Ward,北九州市八幡东区
嘉穂郡,Kaho-gun,嘉穗郡
那珂川市,Nakagawa City,那珂川市
大牟田市,Omuta City,大牟田市
佐賀市,Saga City,佐贺市
伊万里市,Imari City,伊万里市
武雄市,Takeo,武雄市
有田町,Arita Town,有田町
みやき町,Miyaki Town,三养基町
玄海町,Genkai Town,玄海町
鳥栖市,Tosu City,鸟栖市
唐津市,Karatsu City,唐津市
多久市,Taku City,多久市
小城市,Ogi City,小城市
佐世保市,Sasebo,佐世保市
大町町,Omachi Town,大町町
白石町,Shiroishi,白石町
壱岐市,Iki City,壹岐市
長与町,Nagayo,长与町
諫早市,Isahaya,谏早市
松浦市,Matsuura,松浦市
熊本市東区,Kumamoto City Higashi Ward,熊本市东区
御船管内,Inside the ship,御船管辖区
有明管内,Ariake jurisdiction,有明管辖区
熊本市中央区,"Chuo Ward, Kumamoto City",熊本市中央区
熊本市西区,Kumamoto City Nishi Ward,熊本市西区
熊本市南区,Kumamoto City Minami Ward,熊本市南区
熊本市北区,Kumamoto City Kita Ward,熊本市北区
阿蘇管内,Aso jurisdiction,阿苏管辖区
阿蘇郡,Aso-gun,阿苏郡
熊本市,Kumamoto,熊本市
大分市,Oita City,大分市
臼杵市,Usuki City,臼杵市
別府市,Beppu,别府市
日田市,Hita City,日田市
竹田市,Takeda,竹田市
中津市,Nakatsu,中津市
豊後高田市,Bungotakada,丰后高田市
宮崎市,Miyazaki City,宫崎市
高千穂町,Takachiho,高千穗町
延岡市,Nobeoka,延冈市
日南市,Nichinan City,日南市
和泊町,Wadomari Town,和泊町
霧島市,Kirishima,雾岛市
鹿児島市,Kagoshima City,鹿儿岛市
奄美市,Amami,奄美市
姶良市,Aira,始良市
南部管内,Southern jurisdiction,南部管辖区
豊見城市,Tomigusuku City,丰见城市
那覇市,Naha City,那霸市
中部管内,Chubu jurisdiction,中部管辖区
宜野湾市,Ginowan City,宜野湾市
浦添市,Urasoe City,浦添市
南城市,Nanjo City,南城市
沖縄市,Okinawa City,冲绳市
糸満市,Itoman,丝满市
うるま市,Uruma City,宇流麻市
名護市,Nago City,名护市
石垣市,Ishigaki,石垣市
