country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,nameJa
JP,Japan,Fukui,"",2020-02-26,2,7,16,2,2,0,福井
JP,Japan,Fukui,"",2020-02-27,2,7,10,-3,1,1,福井
JP,Japan,Fukui,"",2020-02-28,1,17,3,-8,2,2,福井
JP,Japan,Fukui,"",2020-02-29,-2,15,-3,-22,8,2,福井
JP,Japan,Fukui,"",2020-03-01,-5,12,-1,-16,3,3,福井
JP,Japan,Fukui,"",2020-03-02,-3,8,6,-11,0,2,福井
JP,Japan,Fukui,"",2020-03-03,0,9,9,-14,-1,2,福井
JP,Japan,Fukui,"",2020-03-04,-4,5,-1,-16,-1,3,福井
JP,Japan,Fukui,"",2020-03-05,-4,3,-9,-16,-1,4,福井
JP,Japan,Fukui,"",2020-03-06,-3,5,10,-15,-2,4,福井
JP,Japan,Fukui,"",2020-03-07,-4,6,25,-13,-2,3,福井
JP,Japan,Fukui,"",2020-03-08,-7,4,-26,-24,-3,5,福井
JP,Japan,Fukui,"",2020-03-09,-1,3,35,-6,-1,2,福井
JP,Japan,Fukui,"",2020-03-10,-6,2,-13,-18,-1,4,福井
JP,Japan,Fukui,"",2020-03-11,1,4,1,-12,-1,3,福井
JP,Japan,Fukui,"",2020-03-12,9,6,51,-4,-3,2,福井
JP,Japan,Fukui,"",2020-03-13,2,4,24,-11,-3,3,福井
JP,Japan,Fukui,"",2020-03-14,1,6,-7,-19,-6,4,福井
JP,Japan,Fukui,"",2020-03-15,-6,1,-13,-16,-4,4,福井
JP,Japan,Fukui,"",2020-03-16,-4,1,-13,-12,-1,3,福井
JP,Japan,Fukui,"",2020-03-17,0,3,10,-9,-2,3,福井
JP,Japan,Fukui,"",2020-03-18,4,5,43,-5,-1,2,福井
JP,Japan,Fukui,"",2020-03-19,12,9,48,0,-3,1,福井
JP,Japan,Fukui,"",2020-03-20,16,10,20,-7,-55,19,福井
JP,Japan,Fukui,"",2020-03-21,1,9,84,10,-10,3,福井
JP,Japan,Fukui,"",2020-03-22,-7,2,-24,-6,-4,4,福井
JP,Japan,Fukui,"",2020-03-23,3,4,35,-2,-1,2,福井
JP,Japan,Fukui,"",2020-03-24,1,4,13,-6,-1,3,福井
JP,Japan,Fukui,"",2020-03-25,10,8,56,-1,-2,2,福井
JP,Japan,Fukui,"",2020-03-26,7,12,68,0,-3,2,福井
JP,Japan,Fukui,"",2020-03-27,-6,5,-17,-14,-3,5,福井
JP,Japan,Fukui,"",2020-03-28,-10,6,-16,-21,-5,6,福井
JP,Japan,Fukui,"",2020-03-29,-13,5,-18,-19,-2,6,福井
JP,Japan,Fukui,"",2020-03-30,-2,6,27,-7,-5,4,福井
JP,Japan,Fukui,"",2020-03-31,-3,8,39,-13,-4,3,福井
JP,Japan,Fukui,"",2020-04-01,-14,1,-8,-20,-6,5,福井
JP,Japan,Fukui,"",2020-04-02,-11,7,15,-20,-7,6,福井
JP,Japan,Fukui,"",2020-04-03,-15,10,46,-20,-8,6,福井
JP,Japan,Fukui,"",2020-04-04,-26,9,43,-28,-13,9,福井
JP,Japan,Fukui,"",2020-04-05,-35,3,-20,-41,-17,10,福井
JP,Japan,Fukui,"",2020-04-06,-19,6,18,-23,-10,7,福井
JP,Japan,Fukui,"",2020-04-07,-21,5,36,-26,-11,7,福井
JP,Japan,Fukui,"",2020-04-08,-24,3,27,-28,-12,8,福井
JP,Japan,Fukui,"",2020-04-09,-23,2,32,-30,-11,8,福井
JP,Japan,Fukui,"",2020-04-10,-27,4,-5,-36,-12,10,福井
JP,Japan,Fukui,"",2020-04-11,-33,2,19,-44,-23,12,福井
JP,Japan,Fukuoka,"",2020-02-15,-1,4,7,-3,4,0,福岡
JP,Japan,Fukuoka,"",2020-02-16,-6,-3,-30,-7,-1,2,福岡
JP,Japan,Fukuoka,"",2020-02-17,-7,-1,-19,-2,0,2,福岡
JP,Japan,Fukuoka,"",2020-02-18,-3,-3,-3,-5,-1,1,福岡
JP,Japan,Fukuoka,"",2020-02-19,1,1,20,-2,0,0,福岡
JP,Japan,Fukuoka,"",2020-02-20,3,3,10,-1,0,0,福岡
JP,Japan,Fukuoka,"",2020-02-21,-1,2,7,-2,0,1,福岡
JP,Japan,Fukuoka,"",2020-02-22,-2,3,-6,-5,-1,1,福岡
JP,Japan,Fukuoka,"",2020-02-23,1,6,34,4,1,-1,福岡
JP,Japan,Fukuoka,"",2020-02-24,17,3,71,-20,-54,13,福岡
JP,Japan,Fukuoka,"",2020-02-25,-2,3,-6,-2,1,1,福岡
JP,Japan,Fukuoka,"",2020-02-26,-1,4,9,-6,1,1,福岡
JP,Japan,Fukuoka,"",2020-02-27,-2,6,-3,-8,0,1,福岡
JP,Japan,Fukuoka,"",2020-02-28,-3,10,-19,-16,1,2,福岡
JP,Japan,Fukuoka,"",2020-02-29,-12,5,-50,-33,4,5,福岡
JP,Japan,Fukuoka,"",2020-03-01,-8,8,-14,-31,3,3,福岡
JP,Japan,Fukuoka,"",2020-03-02,-5,6,7,-22,0,3,福岡
JP,Japan,Fukuoka,"",2020-03-03,-2,5,12,-23,-2,3,福岡
JP,Japan,Fukuoka,"",2020-03-04,-6,2,1,-24,-2,4,福岡
JP,Japan,Fukuoka,"",2020-03-05,-5,3,6,-24,-2,3,福岡
JP,Japan,Fukuoka,"",2020-03-06,-8,1,10,-24,-2,4,福岡
JP,Japan,Fukuoka,"",2020-03-07,-15,-4,-38,-36,-3,6,福岡
JP,Japan,Fukuoka,"",2020-03-08,-9,4,14,-31,-2,4,福岡
JP,Japan,Fukuoka,"",2020-03-09,-9,0,6,-21,-1,4,福岡
JP,Japan,Fukuoka,"",2020-03-10,-7,-3,-30,-24,-4,5,福岡
JP,Japan,Fukuoka,"",2020-03-11,0,4,27,-21,-3,3,福岡
JP,Japan,Fukuoka,"",2020-03-12,0,5,25,-21,-3,2,福岡
JP,Japan,Fukuoka,"",2020-03-13,-3,1,7,-23,-3,4,福岡
JP,Japan,Fukuoka,"",2020-03-14,-5,2,-5,-32,-6,4,福岡
JP,Japan,Fukuoka,"",2020-03-15,-7,2,9,-31,-3,3,福岡
JP,Japan,Fukuoka,"",2020-03-16,-5,1,5,-20,-1,3,福岡
JP,Japan,Fukuoka,"",2020-03-17,1,1,22,-22,-4,3,福岡
JP,Japan,Fukuoka,"",2020-03-18,-1,1,33,-18,-3,2,福岡
JP,Japan,Fukuoka,"",2020-03-19,6,4,21,-13,-3,1,福岡
JP,Japan,Fukuoka,"",2020-03-20,11,3,51,-35,-52,14,福岡
JP,Japan,Fukuoka,"",2020-03-21,-6,4,30,-27,-7,2,福岡
JP,Japan,Fukuoka,"",2020-03-22,-8,-1,3,-27,-3,3,福岡
JP,Japan,Fukuoka,"",2020-03-23,-2,2,31,-16,-2,2,福岡
JP,Japan,Fukuoka,"",2020-03-24,1,1,32,-18,-4,2,福岡
JP,Japan,Fukuoka,"",2020-03-25,5,6,49,-16,-4,2,福岡
JP,Japan,Fukuoka,"",2020-03-26,-2,1,-22,-19,-5,3,福岡
JP,Japan,Fukuoka,"",2020-03-27,-11,-5,-34,-25,-6,6,福岡
JP,Japan,Fukuoka,"",2020-03-28,-12,-2,-43,-35,-6,6,福岡
JP,Japan,Fukuoka,"",2020-03-29,-13,6,34,-34,-3,4,福岡
JP,Japan,Fukuoka,"",2020-03-30,-5,3,10,-22,-5,4,福岡
JP,Japan,Fukuoka,"",2020-03-31,-3,3,22,-23,-5,4,福岡
JP,Japan,Fukuoka,"",2020-04-01,-14,-3,-17,-27,-7,6,福岡
JP,Japan,Fukuoka,"",2020-04-02,-8,6,40,-26,-9,5,福岡
JP,Japan,Fukuoka,"",2020-04-03,-14,4,29,-31,-9,6,福岡
JP,Japan,Fukuoka,"",2020-04-04,-22,5,35,-47,-13,8,福岡
JP,Japan,Fukuoka,"",2020-04-05,-25,3,34,-50,-14,8,福岡
JP,Japan,Fukuoka,"",2020-04-06,-13,8,30,-29,-8,6,福岡
JP,Japan,Fukuoka,"",2020-04-07,-13,4,25,-34,-12,7,福岡
JP,Japan,Fukuoka,"",2020-04-08,-23,-2,26,-39,-15,9,福岡
JP,Japan,Fukuoka,"",2020-04-09,-24,0,18,-42,-18,10,福岡
JP,Japan,Fukuoka,"",2020-04-10,-26,1,3,-45,-19,12,福岡
JP,Japan,Fukuoka,"",2020-04-11,-33,0,-6,-60,-26,13,福岡
JP,Japan,Fukushima,"",2020-02-15,-1,3,23,-1,6,0,福島
JP,Japan,Fukushima,"",2020-02-16,-6,-2,-33,-11,-1,2,福島
JP,Japan,Fukushima,"",2020-02-17,-1,0,-4,4,1,1,福島
JP,Japan,Fukushima,"",2020-02-18,2,1,-6,0,1,1,福島
JP,Japan,Fukushima,"",2020-02-19,3,3,17,0,1,0,福島
JP,Japan,Fukushima,"",2020-02-20,3,4,7,0,1,0,福島
JP,Japan,Fukushima,"",2020-02-21,-1,1,6,-2,1,1,福島
JP,Japan,Fukushima,"",2020-02-22,0,3,5,7,-1,1,福島
JP,Japan,Fukushima,"",2020-02-23,-1,1,-19,3,0,1,福島
JP,Japan,Fukushima,"",2020-02-24,27,4,26,7,-53,15,福島
JP,Japan,Fukushima,"",2020-02-25,0,5,-5,1,2,0,福島
JP,Japan,Fukushima,"",2020-02-26,2,6,8,-1,1,0,福島
JP,Japan,Fukushima,"",2020-02-27,1,6,-1,-5,1,1,福島
JP,Japan,Fukushima,"",2020-02-28,4,16,-2,-16,2,1,福島
JP,Japan,Fukushima,"",2020-02-29,-4,11,-6,-23,8,2,福島
JP,Japan,Fukushima,"",2020-03-01,-5,14,-6,-23,6,3,福島
JP,Japan,Fukushima,"",2020-03-02,-6,1,-17,-19,0,3,福島
JP,Japan,Fukushima,"",2020-03-03,0,8,2,-15,1,2,福島
JP,Japan,Fukushima,"",2020-03-04,-4,0,-2,-20,-2,4,福島
JP,Japan,Fukushima,"",2020-03-05,-5,1,-7,-21,-1,4,福島
JP,Japan,Fukushima,"",2020-03-06,-7,-1,-4,-23,-1,4,福島
JP,Japan,Fukushima,"",2020-03-07,-5,2,20,-19,0,3,福島
JP,Japan,Fukushima,"",2020-03-08,-10,-1,-37,-27,-3,5,福島
JP,Japan,Fukushima,"",2020-03-09,-3,1,13,-14,0,3,福島
JP,Japan,Fukushima,"",2020-03-10,-4,1,-22,-19,-2,4,福島
JP,Japan,Fukushima,"",2020-03-11,3,5,23,-16,-2,2,福島
JP,Japan,Fukushima,"",2020-03-12,3,5,20,-15,-1,2,福島
JP,Japan,Fukushima,"",2020-03-13,0,3,16,-19,-3,3,福島
JP,Japan,Fukushima,"",2020-03-14,-8,-1,-29,-24,-5,5,福島
JP,Japan,Fukushima,"",2020-03-15,-4,5,13,-18,0,3,福島
JP,Japan,Fukushima,"",2020-03-16,1,0,-2,-13,-2,3,福島
JP,Japan,Fukushima,"",2020-03-17,2,4,10,-14,-1,2,福島
JP,Japan,Fukushima,"",2020-03-18,5,4,30,-13,-1,2,福島
JP,Japan,Fukushima,"",2020-03-19,14,10,37,-4,-2,0,福島
JP,Japan,Fukushima,"",2020-03-20,16,8,11,-14,-55,18,福島
JP,Japan,Fukushima,"",2020-03-21,0,5,49,-4,-9,3,福島
JP,Japan,Fukushima,"",2020-03-22,-5,2,4,-6,1,2,福島
JP,Japan,Fukushima,"",2020-03-23,4,-1,13,-10,-4,3,福島
JP,Japan,Fukushima,"",2020-03-24,2,2,5,-12,-2,3,福島
JP,Japan,Fukushima,"",2020-03-25,8,7,33,-10,-2,1,福島
JP,Japan,Fukushima,"",2020-03-26,8,9,35,-11,-3,2,福島
JP,Japan,Fukushima,"",2020-03-27,1,5,20,-18,-3,3,福島
JP,Japan,Fukushima,"",2020-03-28,-4,4,1,-20,-3,4,福島
JP,Japan,Fukushima,"",2020-03-29,-21,-7,-51,-35,-4,7,福島
JP,Japan,Fukushima,"",2020-03-30,4,2,10,-12,-4,3,福島
JP,Japan,Fukushima,"",2020-03-31,5,7,22,-16,-3,3,福島
JP,Japan,Fukushima,"",2020-04-01,-6,6,4,-23,-5,3,福島
JP,Japan,Fukushima,"",2020-04-02,-5,4,8,-24,-6,4,福島
JP,Japan,Fukushima,"",2020-04-03,-8,3,44,-27,-6,5,福島
JP,Japan,Fukushima,"",2020-04-04,-10,5,57,-28,-7,6,福島
JP,Japan,Fukushima,"",2020-04-05,-15,3,4,-36,-8,7,福島
JP,Japan,Fukushima,"",2020-04-06,-5,2,19,-18,-9,5,福島
JP,Japan,Fukushima,"",2020-04-07,-6,5,41,-21,-6,4,福島
JP,Japan,Fukushima,"",2020-04-08,-8,3,56,-23,-7,4,福島
JP,Japan,Fukushima,"",2020-04-09,-11,3,31,-25,-8,5,福島
JP,Japan,Fukushima,"",2020-04-10,-16,3,5,-32,-7,7,福島
JP,Japan,Fukushima,"",2020-04-11,-18,3,46,-38,-17,9,福島
JP,Japan,Gifu,"",2020-02-15,0,4,-2,0,4,0,岐阜
JP,Japan,Gifu,"",2020-02-16,-9,-6,-44,-13,-2,3,岐阜
JP,Japan,Gifu,"",2020-02-17,-1,4,-2,2,0,0,岐阜
JP,Japan,Gifu,"",2020-02-18,1,-1,-11,-2,-2,1,岐阜
JP,Japan,Gifu,"",2020-02-19,3,3,1,-2,0,0,岐阜
JP,Japan,Gifu,"",2020-02-20,5,4,0,-1,0,0,岐阜
JP,Japan,Gifu,"",2020-02-21,0,3,3,-1,1,1,岐阜
JP,Japan,Gifu,"",2020-02-22,-4,0,-33,-4,-3,2,岐阜
JP,Japan,Gifu,"",2020-02-23,2,6,-4,6,0,0,岐阜
JP,Japan,Gifu,"",2020-02-24,27,9,67,0,-48,12,岐阜
JP,Japan,Gifu,"",2020-02-25,-1,6,-10,-4,0,1,岐阜
JP,Japan,Gifu,"",2020-02-26,0,5,-2,-6,1,1,岐阜
JP,Japan,Gifu,"",2020-02-27,-1,8,-7,-7,1,1,岐阜
JP,Japan,Gifu,"",2020-02-28,-1,16,-6,-15,2,2,岐阜
JP,Japan,Gifu,"",2020-02-29,-8,16,-36,-28,3,4,岐阜
JP,Japan,Gifu,"",2020-03-01,-9,11,-8,-24,4,4,岐阜
JP,Japan,Gifu,"",2020-03-02,-7,9,-10,-18,-2,3,岐阜
JP,Japan,Gifu,"",2020-03-03,-3,9,5,-19,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-04,-11,1,-27,-23,-3,5,岐阜
JP,Japan,Gifu,"",2020-03-05,-7,4,-19,-21,-3,4,岐阜
JP,Japan,Gifu,"",2020-03-06,-7,4,-1,-21,-4,5,岐阜
JP,Japan,Gifu,"",2020-03-07,-8,7,0,-25,-3,5,岐阜
JP,Japan,Gifu,"",2020-03-08,-15,-3,-56,-38,-6,7,岐阜
JP,Japan,Gifu,"",2020-03-09,-5,4,11,-15,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-10,-9,-3,-35,-24,-5,5,岐阜
JP,Japan,Gifu,"",2020-03-11,-1,5,1,-17,-4,3,岐阜
JP,Japan,Gifu,"",2020-03-12,2,6,16,-14,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-13,-2,4,8,-19,-4,4,岐阜
JP,Japan,Gifu,"",2020-03-14,-6,2,-42,-31,-7,6,岐阜
JP,Japan,Gifu,"",2020-03-15,-5,5,-2,-22,-3,4,岐阜
JP,Japan,Gifu,"",2020-03-16,-5,2,-19,-17,-3,4,岐阜
JP,Japan,Gifu,"",2020-03-17,-1,3,9,-15,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-18,1,4,13,-13,-4,3,岐阜
JP,Japan,Gifu,"",2020-03-19,9,7,16,-9,-3,2,岐阜
JP,Japan,Gifu,"",2020-03-20,19,10,32,-19,-48,16,岐阜
JP,Japan,Gifu,"",2020-03-21,-1,7,38,-9,-7,3,岐阜
JP,Japan,Gifu,"",2020-03-22,-4,3,6,-12,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-23,-1,2,7,-11,-3,3,岐阜
JP,Japan,Gifu,"",2020-03-24,0,3,2,-15,-4,3,岐阜
JP,Japan,Gifu,"",2020-03-25,5,6,23,-10,-5,3,岐阜
JP,Japan,Gifu,"",2020-03-26,4,10,36,-8,-4,3,岐阜
JP,Japan,Gifu,"",2020-03-27,-9,1,-34,-23,-6,7,岐阜
JP,Japan,Gifu,"",2020-03-28,-11,5,-25,-29,-7,6,岐阜
JP,Japan,Gifu,"",2020-03-29,-14,3,-25,-32,-4,6,岐阜
JP,Japan,Gifu,"",2020-03-30,-3,4,-2,-16,-7,4,岐阜
JP,Japan,Gifu,"",2020-03-31,-3,5,-10,-19,-7,5,岐阜
JP,Japan,Gifu,"",2020-04-01,-13,-4,-27,-24,-7,6,岐阜
JP,Japan,Gifu,"",2020-04-02,-8,6,20,-19,-8,5,岐阜
JP,Japan,Gifu,"",2020-04-03,-12,6,33,-22,-8,6,岐阜
JP,Japan,Gifu,"",2020-04-04,-17,9,28,-30,-10,7,岐阜
JP,Japan,Gifu,"",2020-04-05,-22,6,1,-35,-10,8,岐阜
JP,Japan,Gifu,"",2020-04-06,-15,6,4,-23,-9,6,岐阜
JP,Japan,Gifu,"",2020-04-07,-15,4,15,-26,-11,7,岐阜
JP,Japan,Gifu,"",2020-04-08,-18,3,11,-27,-11,7,岐阜
JP,Japan,Gifu,"",2020-04-09,-19,3,9,-28,-10,7,岐阜
JP,Japan,Gifu,"",2020-04-10,-23,5,-8,-35,-11,9,岐阜
JP,Japan,Gifu,"",2020-04-11,-31,4,-12,-48,-21,12,岐阜
JP,Japan,Gunma,"",2020-02-15,-2,2,11,-2,5,0,群馬
JP,Japan,Gunma,"",2020-02-16,-4,0,-22,-7,1,1,群馬
JP,Japan,Gunma,"",2020-02-17,-1,-1,2,0,1,1,群馬
JP,Japan,Gunma,"",2020-02-18,1,2,4,0,1,1,群馬
JP,Japan,Gunma,"",2020-02-19,1,2,9,-4,0,1,群馬
JP,Japan,Gunma,"",2020-02-20,2,4,8,0,0,1,群馬
JP,Japan,Gunma,"",2020-02-21,-2,2,13,0,0,1,群馬
JP,Japan,Gunma,"",2020-02-22,-1,5,13,5,1,1,群馬
JP,Japan,Gunma,"",2020-02-23,1,6,-1,16,0,0,群馬
JP,Japan,Gunma,"",2020-02-24,30,5,64,14,-49,13,群馬
JP,Japan,Gunma,"",2020-02-25,0,6,1,-2,1,1,群馬
JP,Japan,Gunma,"",2020-02-26,-2,4,-6,-6,0,1,群馬
JP,Japan,Gunma,"",2020-02-27,-1,7,0,-8,1,1,群馬
JP,Japan,Gunma,"",2020-02-28,2,19,3,-12,1,2,群馬
JP,Japan,Gunma,"",2020-02-29,-4,12,3,-20,6,3,群馬
JP,Japan,Gunma,"",2020-03-01,-7,7,7,-21,2,3,群馬
JP,Japan,Gunma,"",2020-03-02,-4,3,-17,-18,-1,3,群馬
JP,Japan,Gunma,"",2020-03-03,-2,7,19,-17,0,3,群馬
JP,Japan,Gunma,"",2020-03-04,-6,0,-13,-20,-1,4,群馬
JP,Japan,Gunma,"",2020-03-05,-5,2,-3,-19,-2,4,群馬
JP,Japan,Gunma,"",2020-03-06,-6,0,6,-17,-2,4,群馬
JP,Japan,Gunma,"",2020-03-07,-8,1,7,-20,-1,4,群馬
JP,Japan,Gunma,"",2020-03-08,-14,0,-29,-28,-3,6,群馬
JP,Japan,Gunma,"",2020-03-09,-5,1,19,-17,-2,4,群馬
JP,Japan,Gunma,"",2020-03-10,-8,-2,-24,-24,-3,5,群馬
JP,Japan,Gunma,"",2020-03-11,-2,3,15,-18,-3,4,群馬
JP,Japan,Gunma,"",2020-03-12,-1,6,23,-16,-2,3,群馬
JP,Japan,Gunma,"",2020-03-13,-3,2,22,-18,-4,4,群馬
JP,Japan,Gunma,"",2020-03-14,-15,-5,-49,-33,-6,7,群馬
JP,Japan,Gunma,"",2020-03-15,-8,5,16,-17,-1,4,群馬
JP,Japan,Gunma,"",2020-03-16,-6,-1,-8,-17,-2,4,群馬
JP,Japan,Gunma,"",2020-03-17,-2,4,24,-14,-1,3,群馬
JP,Japan,Gunma,"",2020-03-18,-2,3,21,-14,-3,3,群馬
JP,Japan,Gunma,"",2020-03-19,5,8,30,-5,-2,2,群馬
JP,Japan,Gunma,"",2020-03-20,14,5,29,-6,-48,16,群馬
JP,Japan,Gunma,"",2020-03-21,-3,6,42,-5,-6,3,群馬
JP,Japan,Gunma,"",2020-03-22,-7,3,20,-8,-2,3,群馬
JP,Japan,Gunma,"",2020-03-23,-1,-1,12,-13,-3,3,群馬
JP,Japan,Gunma,"",2020-03-24,1,0,3,-15,-4,4,群馬
JP,Japan,Gunma,"",2020-03-25,2,6,26,-13,-3,3,群馬
JP,Japan,Gunma,"",2020-03-26,3,10,42,-10,-4,3,群馬
JP,Japan,Gunma,"",2020-03-27,-3,5,38,-17,-5,4,群馬
JP,Japan,Gunma,"",2020-03-28,-13,1,6,-31,-3,5,群馬
JP,Japan,Gunma,"",2020-03-29,-33,-15,-55,-49,-8,9,群馬
JP,Japan,Gunma,"",2020-03-30,-3,1,5,-20,-6,5,群馬
JP,Japan,Gunma,"",2020-03-31,-2,5,14,-22,-5,5,群馬
JP,Japan,Gunma,"",2020-04-01,-15,-3,-29,-31,-7,6,群馬
JP,Japan,Gunma,"",2020-04-02,-10,2,8,-25,-7,5,群馬
JP,Japan,Gunma,"",2020-04-03,-11,2,40,-25,-7,6,群馬
JP,Japan,Gunma,"",2020-04-04,-15,3,34,-32,-8,7,群馬
JP,Japan,Gunma,"",2020-04-05,-20,0,-1,-40,-9,7,群馬
JP,Japan,Gunma,"",2020-04-06,-9,1,8,-26,-7,6,群馬
JP,Japan,Gunma,"",2020-04-07,-8,3,25,-27,-10,6,群馬
JP,Japan,Gunma,"",2020-04-08,-14,0,17,-30,-10,6,群馬
JP,Japan,Gunma,"",2020-04-09,-14,0,9,-32,-10,7,群馬
JP,Japan,Gunma,"",2020-04-10,-18,0,-4,-37,-11,8,群馬
JP,Japan,Gunma,"",2020-04-11,-23,-1,7,-47,-17,10,群馬
JP,Japan,Hiroshima,"",2020-02-15,-1,3,-5,-4,5,0,広島
JP,Japan,Hiroshima,"",2020-02-16,-6,-3,-43,-13,-2,2,広島
JP,Japan,Hiroshima,"",2020-02-17,-3,3,-6,0,1,1,広島
JP,Japan,Hiroshima,"",2020-02-18,0,2,3,-2,0,1,広島
JP,Japan,Hiroshima,"",2020-02-19,1,0,7,0,0,0,広島
JP,Japan,Hiroshima,"",2020-02-20,2,4,7,0,1,0,広島
JP,Japan,Hiroshima,"",2020-02-21,0,1,6,0,1,0,広島
JP,Japan,Hiroshima,"",2020-02-22,-2,2,-16,-2,-2,1,広島
JP,Japan,Hiroshima,"",2020-02-23,8,7,14,16,0,-2,広島
JP,Japan,Hiroshima,"",2020-02-24,18,4,46,-10,-52,13,広島
JP,Japan,Hiroshima,"",2020-02-25,-1,5,4,0,2,0,広島
JP,Japan,Hiroshima,"",2020-02-26,1,3,7,-2,1,0,広島
JP,Japan,Hiroshima,"",2020-02-27,0,9,4,-4,1,1,広島
JP,Japan,Hiroshima,"",2020-02-28,-2,12,-4,-14,2,2,広島
JP,Japan,Hiroshima,"",2020-02-29,-10,8,-44,-31,4,4,広島
JP,Japan,Hiroshima,"",2020-03-01,-5,10,-11,-24,4,3,広島
JP,Japan,Hiroshima,"",2020-03-02,-5,7,4,-18,1,2,広島
JP,Japan,Hiroshima,"",2020-03-03,0,8,15,-19,0,2,広島
JP,Japan,Hiroshima,"",2020-03-04,-8,-1,-14,-20,-2,4,広島
JP,Japan,Hiroshima,"",2020-03-05,-5,4,-6,-20,-2,3,広島
JP,Japan,Hiroshima,"",2020-03-06,-6,2,9,-21,-1,3,広島
JP,Japan,Hiroshima,"",2020-03-07,-14,1,-24,-32,-2,5,広島
JP,Japan,Hiroshima,"",2020-03-08,-10,5,-14,-31,-3,4,広島
JP,Japan,Hiroshima,"",2020-03-09,-7,2,11,-17,0,3,広島
JP,Japan,Hiroshima,"",2020-03-10,-5,1,-14,-21,-3,4,広島
JP,Japan,Hiroshima,"",2020-03-11,-1,3,15,-18,-2,3,広島
JP,Japan,Hiroshima,"",2020-03-12,0,6,20,-17,-3,3,広島
JP,Japan,Hiroshima,"",2020-03-13,-2,3,10,-20,-2,4,広島
JP,Japan,Hiroshima,"",2020-03-14,-5,4,-9,-27,-5,4,広島
JP,Japan,Hiroshima,"",2020-03-15,-7,4,-10,-27,-3,3,広島
JP,Japan,Hiroshima,"",2020-03-16,-5,1,-5,-17,-1,3,広島
JP,Japan,Hiroshima,"",2020-03-17,-1,5,21,-17,-1,3,広島
JP,Japan,Hiroshima,"",2020-03-18,0,3,24,-15,-2,2,広島
JP,Japan,Hiroshima,"",2020-03-19,9,7,23,-10,-3,1,広島
JP,Japan,Hiroshima,"",2020-03-20,13,7,49,-26,-50,14,広島
JP,Japan,Hiroshima,"",2020-03-21,-5,4,20,-18,-6,3,広島
JP,Japan,Hiroshima,"",2020-03-22,-8,1,-10,-20,-2,2,広島
JP,Japan,Hiroshima,"",2020-03-23,-1,2,21,-13,-1,2,広島
JP,Japan,Hiroshima,"",2020-03-24,1,4,27,-15,-2,2,広島
JP,Japan,Hiroshima,"",2020-03-25,5,6,29,-13,-3,2,広島
JP,Japan,Hiroshima,"",2020-03-26,3,8,13,-15,-3,2,広島
JP,Japan,Hiroshima,"",2020-03-27,-10,-3,-33,-23,-5,6,広島
JP,Japan,Hiroshima,"",2020-03-28,-10,3,-34,-30,-5,6,広島
JP,Japan,Hiroshima,"",2020-03-29,-7,7,15,-24,-1,3,広島
JP,Japan,Hiroshima,"",2020-03-30,-2,4,12,-17,-4,4,広島
JP,Japan,Hiroshima,"",2020-03-31,-2,6,17,-19,-3,4,広島
JP,Japan,Hiroshima,"",2020-04-01,-13,-4,-23,-24,-7,6,広島
JP,Japan,Hiroshima,"",2020-04-02,-5,7,35,-20,-7,4,広島
JP,Japan,Hiroshima,"",2020-04-03,-10,4,28,-24,-7,5,広島
JP,Japan,Hiroshima,"",2020-04-04,-13,8,36,-29,-8,6,広島
JP,Japan,Hiroshima,"",2020-04-05,-15,8,27,-32,-9,5,広島
JP,Japan,Hiroshima,"",2020-04-06,-9,5,30,-18,-6,4,広島
JP,Japan,Hiroshima,"",2020-04-07,-7,9,32,-22,-9,5,広島
JP,Japan,Hiroshima,"",2020-04-08,-12,4,23,-24,-9,5,広島
JP,Japan,Hiroshima,"",2020-04-09,-14,5,16,-25,-8,5,広島
JP,Japan,Hiroshima,"",2020-04-10,-15,7,8,-29,-8,6,広島
JP,Japan,Hiroshima,"",2020-04-11,-29,2,-9,-48,-18,11,広島
JP,Japan,Hokkaido,"",2020-02-15,-1,5,-1,-2,4,1,北海道
JP,Japan,Hokkaido,"",2020-02-16,-8,-3,-14,-5,0,2,北海道
JP,Japan,Hokkaido,"",2020-02-17,-9,-4,-13,0,-2,2,北海道
JP,Japan,Hokkaido,"",2020-02-18,-3,2,-9,-1,-1,1,北海道
JP,Japan,Hokkaido,"",2020-02-19,-3,-3,-7,-3,-1,1,北海道
JP,Japan,Hokkaido,"",2020-02-20,0,11,-7,0,1,1,北海道
JP,Japan,Hokkaido,"",2020-02-21,-3,3,-7,-2,0,1,北海道
JP,Japan,Hokkaido,"",2020-02-22,-6,5,-13,-7,-1,2,北海道
JP,Japan,Hokkaido,"",2020-02-23,-17,-9,-29,-14,-4,3,北海道
JP,Japan,Hokkaido,"",2020-02-24,7,3,-7,-28,-52,13,北海道
JP,Japan,Hokkaido,"",2020-02-25,-4,12,-13,-3,0,1,北海道
